file,base_file,instrument
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.13.23.013179-0.13.26.066122.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.13.26.066122-0.13.31.021233.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAbyVaUbEmkBleO68GdY0piHv9hCjdu_0.13.31.021233-0.13.34.055600.csv,AQAbyVaUbEmkBleO68GdY0piHv9hCjdu,tp
AQAccUmoJYmqCYc_4cL3BP1h_ugv_PCL_0.10.12.004897-0.14.37.090004.csv,AQAccUmoJYmqCYc_4cL3BP1h_ugv_PCL,cl
AQAcmUqUMGlEJcITY_dxKcZ1IX2E5A-u_0.03.05.057464-0.04.45.052020.csv,AQAcmUqUMGlEJcITY_dxKcZ1IX2E5A-u,tp
AQAcmUqUMGlEJcITY_dxKcZ1IX2E5A-u_0.04.45.052020-0.07.13.035596.csv,AQAcmUqUMGlEJcITY_dxKcZ1IX2E5A-u,ss
AQAEdkqUKEkUcZLwHSee7qgewlVyvFeK_0.00.54.029097-0.01.47.035181.csv,AQAEdkqUKEkUcZLwHSee7qgewlVyvFeK,ts
AQAENAz5RMKLH0_xI8QJIWc-fC165_jh_0.01.05.001587-0.02.15.082666.csv,AQAENAz5RMKLH0_xI8QJIWc-fC165_jh,ts
AQAEvomSPIoiwW9Q-Tj2HJdsMN8B8_hw_0.01.12.050430-0.01.59.078594.csv,AQAEvomSPIoiwW9Q-Tj2HJdsMN8B8_hw,tp
AQAEX4kYJVEiBb2WGA2n4y-uk3iOH24C_0.00.00.000000-0.02.21.026666.csv,AQAEX4kYJVEiBb2WGA2n4y-uk3iOH24C,ts
AQAEyomSSGKShrg61HpwC6Geo1Gq4KGJ_0.00.38.093986-0.01.25.025206.csv,AQAEyomSSGKShrg61HpwC6Geo1Gq4KGJ,tb
AQAF3HwWF9fRJ0yQLGuEHM-F50ng9fiP_0.01.05.029451-0.01.47.022975.csv,AQAF3HwWF9fRJ0yQLGuEHM-F50ng9fiP,tp
AQAF8kmi6HuCMHvQXTr2XMEZuEpWPFmK_0.00.26.019210-0.01.08.026666.csv,AQAF8kmi6HuCMHvQXTr2XMEZuEpWPFmK,fl
AQAF8kmi6HuCMHvQXTr2XMEZuEpWPFmK_0.01.08.026666-0.01.47.072897.csv,AQAF8kmi6HuCMHvQXTr2XMEZuEpWPFmK,tp
AQAF8kmi6HuCMHvQXTr2XMEZuEpWPFmK_0.01.47.072897-0.02.41.082857.csv,AQAF8kmi6HuCMHvQXTr2XMEZuEpWPFmK,vib
AQAF98qYJI0ksMS1o0mmaKj-YD_OB5dR_0.01.17.035147-0.02.53.042403.csv,AQAF98qYJI0ksMS1o0mmaKj-YD_OB5dR,vln
AQAFamum7EmQB8mD63h-VD_-ojYlvO8Q_0.01.20.033523-0.01.52.038458.csv,AQAFamum7EmQB8mD63h-VD_-ojYlvO8Q,ts
AQAFBkmiiFnCSThpdPDRP9h34spx9ILh_0.00.58.048816-0.01.24.003591.csv,AQAFBkmiiFnCSThpdPDRP9h34spx9ILh,ts
AQAFCVGyLIkiZWidAznOo5GkBT7y44dY_0.02.06.078095-0.02.42.022666.csv,AQAFCVGyLIkiZWidAznOo5GkBT7y44dY,tp
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.01.58.059591-0.04.32.019591.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.12.51.083129-0.13.35.085632.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.13.40.003591-0.13.45.033006.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.13.49.027746-0.13.54.010721.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.13.58.056544-0.14.03.058095.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.07.034258-0.14.13.024045.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.16.067700-0.14.22.052843.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.26.047582-0.14.32.000217.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.35.081024-0.14.41.056879.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.44.091247-0.14.47.079174.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.49.023138-0.14.52.015709.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.53.050385-0.14.56.066176.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.58.024072-0.15.00.088780.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.15.02.088471-0.15.05.090331.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.15.07.048226-0.15.10.003646.csv,AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO,ts
AQAFe0qk6EosTDQdONTRJYxwurgteNFx_0.01.15.063099-0.02.56.040000.csv,AQAFe0qk6EosTDQdONTRJYxwurgteNFx,ts
AQAfeYmarNGkIazCYMqP43nQVAyqJyF4_0.02.00.018648-0.04.26.071020.csv,AQAfeYmarNGkIazCYMqP43nQVAyqJyF4,tp
AQAfeYmarNGkIazCYMqP43nQVAyqJyF4_0.04.41.060000-0.06.30.000816.csv,AQAfeYmarNGkIazCYMqP43nQVAyqJyF4,tp
AQAfeYmarNGkIazCYMqP43nQVAyqJyF4_0.06.44.002721-0.07.59.081714.csv,AQAfeYmarNGkIazCYMqP43nQVAyqJyF4,tp
AQAFHIqYJNmUKEpwPDr-okn0o08dNONx_0.00.48.083591-0.01.41.074693.csv,AQAFHIqYJNmUKEpwPDr-okn0o08dNONx,tp
AQAFHIqYJNmUKEpwPDr-okn0o08dNONx_0.01.41.074693-0.01.46.098448.csv,AQAFHIqYJNmUKEpwPDr-okn0o08dNONx,voc
AQAFHIqYJNmUKEpwPDr-okn0o08dNONx_0.01.46.098448-0.02.02.036916.csv,AQAFHIqYJNmUKEpwPDr-okn0o08dNONx,tp
AQAFHIqYJNmUKEpwPDr-okn0o08dNONx_0.02.02.036916-0.02.07.046594.csv,AQAFHIqYJNmUKEpwPDr-okn0o08dNONx,voc
