"You've Got The Right Key, But The Wrong Keyhole ",(Green) 
Words ,(Spencer)
Words ,(Spencer)
Copenhagen ,(Davis)
Copenhagen ,(Davis)
Of All The Wrongs You've Done ,(Payton-Smith) 
Everybody Loves My Baby ,(Williams-Palmer)
Everybody Loves My Baby ,(Williams-Palmer)
Shanghai Shuffle ,(Rodemich-Conley)
Naughty Man,(Redman-Dixon) 
Naughty Man,(Redman-Dixon)
Texas Moaner Blues ,(Barnes-Williams)
Of All The Wrongs You've Done To Me ,(Payton-Smith)
One Of These Days ,(Hoffman)
My Dream Man ,(Dale)
My Dream Man ,(Dale) 
,
,
Louis Armstrong 1924 Vol. 2,
The Meanest Kind Of Blues ,(Katzman)
Naughty Man ,(Redman-Dixon)
How Come You Do Me ,(Austin-Pergere) 
How Come You Do Me ,(Austin-Pergere) 
How Come You Do Me ,(Austin-Pergere)
Araby ,(Edwards)
Everybody Loves My Baby ,(Williams-Palmer) 
Everybody Loves My Baby ,(Williams-Palmer)
Naughty Man ,(Redman-Dixon)
"Papa, Mama's All Alone ",(Williams-Higgins)
Changeable Daddy Of Mine ,(Wooding-Schaffer)
Terrible Blues,(Williams) 
Santa Claus Blues ,(Straight-Kahn) 
"Baby, I Can't Use You No More ",(Wallace)
Trouble Everywhere I Roam ,(Thomas—Wallace)
Prince Of Wails ,(Schoebel) 
Prince Of Wails ,(Schoebel) 
Prince Of Wails ,(Schoebel) 
Mandy Make Up Your Mind ,(Clarke-Turk-Meyer-Johnson)
Mandy Make Up Your Mind ,(Clarke-Turk-Meyer-Johnson)
Mandy Make Up Your Mind ,(Clarke-Turk-Meyer-Johnson) 
I'm A Little Blackbird ,(Clarke)
Nobody Knows The Way I Feel ‘Dis Mornin‘ ,(Delaney) 
Early Every Morn’ ,(Higgins-Overstreet) 
Cake Walkin' Babies From Home ,(Williams-Smith-Troy)
,
,
Louis Armstrong  1925 Vol. 1,
Cake Walkin' Babies From Home ,(Williams-Smith-Troy)
Pickin' On Your Baby ,(Reynolds-James)
I'll See You In My Dreams ,(Kahn-Jones)
Why Couldn't It Be Poor Little Me? ,(Kahn-Jones) 
I'll See You In My Dreams ,(Kahn-Jones) 
I'll See You In My Dreams ,(Kahn-Jones) 
Why Couldn't It Be Poor Little Me? ,(Kahn-Jones) 
Why Couldn't It Be Poor Little Me? ,(Kahn-Jones) 
Why Couldn't It Be Poor Little Me? ,(Kahn-Jones) 
Bye And Bye ,(Pease-Nelson-Vincent) 
Play Me Slow ,(Hagen-O’Flynn)
Play Me Slow ,(Hagen-O’Flynn) 
Alabamy Bound ,(DeSylva-Henderson)
Alabamy Bound ,(DeSylva-Henderson) 
Alabamy Bound ,(DeSylva-Henderson)
Swanee Butterfly ,(Rose-Donaldson) 
Swanee Butterfly ,(Rose-Donaldson) 
Swanee Butterfly ,(Rose-Donaldson)
Poplar Street Blues ,(Short-Mont) 
Twelfth Street Blues,(Heagney)
Me Neenyah (My Little One),(Brown-Spencer)
Cast Away ,(Brown-Easton-Stewart)
Papa De-Da-Da ,(Williams-Todd)
,
,
Louis Armstrong  1925 Vol. 2,
Memphis Bound ,(Banta-DeRose)
When You Do What You Do ,(Parish-Johnson)
I’ll Take Her Back If She Wants To Come Back ,(Monaco-Leslie) 
Money Blues ,(Leader-Coleman-Eller)
Money Blues ,(Leader-Coleman-Eller)
Sugarfoot Stomp ,(Oliver-Armstrong)
What-Cha-Call-'Em Blues ,(Roberts)
I Miss My Swiss,(Baer-Gilbert)
Alone At Last ,(Kahn-FioRito)
Just Wait 'Til You See My Baby Do The Charleston ,(Simmons-Todd-Williams) 
Livin' High Sometimes ,(Belledna-Pinkard) 
Coal Cart Blues ,(Armstrong-Hardin) 
Santa Claus Blues ,(Straight-Kahn)
Santa Claus Blues ,(Straight-Kahn)
TNT ,(Schoebel)
Carolina Stomp ,(Bloom-Costello)
Squeeze Me ,(Williams-Waller) 
You Can't Shush Katie ,(White-Creamer-Warren)
Lucy Long ,(Bradford)
I Ain't Gonna Play No Second Fiddle ,(Bradford)
,
,
The Wolverine Orchestra ,
Fidgety Feet ,(LaRocca-Shields)
Jazz Me Blues ,(Delaney) 
Oh Baby ,(Donaldson-deSylva) 
Copenhagen ,(Davis-Melrose) 
Riverboat Shuffle ,(Carmichael-Voynow-Mills)
Susie (Of The Islands) ,(Naset-Kahn)
Susie (Of The Islands) ,(Naset-Kahn)
I Need Some Pettin' ,(King-Fio Rito-Kahn)
Royal Garden Blues ,(Williams-Williams) 
Tiger Rag ,(LaRocca) 
Sensation ,(Edwards)
Lazy Daddy ,(LaRocca-Shields-Ragas) 
Lazy Daddy ,(LaRocca-Shields-Ragas)
Tia Juana ,(Rodemich-Conley)
Big Boy ,(Ager-Yellen) 
Flock O'Blues ,(Bloom) 
I'm Glad ,(Trumbauer)
