solo_id,medium_title,band_name,leader_name,track_title,line_up,instrument,recording_year,performer_new,instrument_corrected
AQAHqMrCSIsSJUQfHv4HfipCHnqy4zoC_0.02.40.079818-0.02.54.036734,,Maynard Ferguson,Maynard Ferguson,September moan,,ts,1962,Don Menza,
AQAHu4qWTRFVJBfy7Pjx5XByL3hdBekb_0.01.57.095736-0.02.33.062321,,Stan Kenton,,Tonight,,tp,1970,"Dennis Noday , Jim Kartchner , Joe Ellis , Mike Vax , Warren Gale",
AQAIkIwSJcsqBudxol-RQx9-PIdmDmme_0.00.47.080408-0.01.57.009387,,Tom Dempsey,Tom Dempsey,Focus pocus,"Eliot Zigmund (dr), Joel Frahm (ss, ts), Tim Ferguson (b), Tom Dempsey (g)",as,2010,Joel Frahm,ts
AQAIklGSSVHSZEmQ_jCP8gR32kIjc0Wo_0.02.00.055510-0.04.05.081224,,Jeremy Udden,Jeremy Udden,Big lick,"Brandon Seabrook (g, bjo), Eivind Opsvik (b), Jeremy Udden (other, as, ss), Miller (), Pete Rende (g, p, other, org)",ts,2008,Jeremy Udden,as
AQAIlose9cIDXsWTHPvxHk19PAxzXHtw_0.01.38.048163-0.01.49.019183,,Esperanza Spalding,Esperanza Spalding,Crowned & kissed,"Algebra Blessett (voc), Billy Hart (dr), Esperanza Spalding (voc, b), Jef Lee Johnson (g), Joe Lovano (ts), Leni Stern (voc), Leo Genovese (p), Lionel Loueke (voc, g)",tb,2011,Jeff Galindo,
AQAIlose9cIDXsWTHPvxHk19PAxzXHtw_0.02.16.075102-0.02.34.084081,,Esperanza Spalding,Esperanza Spalding,Crowned & kissed,"Algebra Blessett (voc), Billy Hart (dr), Esperanza Spalding (voc, b), Jef Lee Johnson (g), Joe Lovano (ts), Leni Stern (voc), Leo Genovese (p), Lionel Loueke (voc, g)",tb,2011,Jeff Galindo,
AQAItYmkZGMipfiT4Dya6whFh8OzZMeR_0.00.44.081451-0.01.02.083319,,David Buchbinder,David Buchbinder,Freylekhs tumbao,"Aleksandar Gajic (vln), Dafnis Prieto (dr), David Buchbinder (tp), Hilario Duran (p), John Gzowski (other), Quinsin Nachoff (other), Roberto Occhipinti (b)",ts,2007,Quinsin Nachoff,
AQAJ6ZKyb01QkTuaKUpG4Z-Q_EIenHhi_0.02.04.059827-0.03.11.028598,,The Crusaders,,Anita's new dance,"Buster Williams (b), Joe Sample (p), Stix Hooper (dr), Wayne Henderson (tb), Wilton Felder (ts)",tp,1970,Wayne Henderson,
AQAJA2GkJUmkJVEQPsGspMeVyaD5YMon_0.01.39.070938-0.02.51.007591,,Clare Fischer,Clare Fischer,C.P.,"Brent Fischer (b, dr), Clare Fischer (other), Dick Mitchell (other), Luis Conte (other), Michito Sanchez (other), Tris Imboden (dr)",fl,1989,Dick Mitchell,
AQAJNUmUTEmyKImWwMeDH4dxPfhxPPCO_0.01.29.052163-0.02.15.041877,,Clare Fischer,Clare Fischer,Xapuri,"Brent Fischer (b), Clare Fischer (other), Dick Mitchell (other), Luis Conte (other), Michito Sanchez (other), Tris Imboden (dr)",fl,1989,Dick Mitchell,
AQAJPJG0TIySJQmaX_hPnOgOb8mMH5rp_0.01.55.017097-0.03.18.094857,,Oliver Nelson,Oliver Nelson,Cool,"Phil Bodner (other), Phil Kraus (other, vib)",as,1963,Oliver Nelson,
AQAJPVmihEkiJUyCHw_W73DFQ_vxB6GH_0.00.59.056789-0.01.34.095365,,The Crusaders,,White cobra,Victor Gaskin (b),ts,1965,Wilton Felder,
AQAJPVmihEkiJUyCHw_W73DFQ_vxB6GH_0.01.34.095365-0.02.11.016952,,The Crusaders,,White cobra,Victor Gaskin (b),tp,1965,Wayne Henderson,tb
AQAJh8oSKdGiTkCvw_ghHz3a47hnHL6g_0.01.25.038360-0.03.00.086603,,Miles Davis,Miles Davis,Improvisation #3,,vib,1970,Chick Corea,other
AQAJmVHyJtGDq9iXHw_zDH52lDx0ouQV_0.00.50.059628-0.02.13.039863,,Peter Appleyard,Peter Appleyard,Tangerine,"Bobby Hackett (cor), Hank Jones (p), Mel Lewis (dr), Peter Appleyard (vib), Slam Stewart (b), Urbie Green (tb), Zoot Sims (ts)",tp,1974,Bobby Hackett,cor
AQAJrJI2iZIWvEdfND-eJERyOQgTP6iS_0.00.38.080054-0.01.53.056879,,The Nice Guy Trio,,See ya,"Aaron Keirbel (other), Daniel Fabricant (b), Darren Johnston (tp), Rob Reich (other)",cl,2009,Ben Goldberg,
AQAJzUySRIwSEb_R5Mihc8ijL6j8qSgn_0.01.01.083764-0.01.50.064308,,Clare Fischer,Clare Fischer,Pan pipe dance,"Brent Fischer (b), Clare Fischer (other), Dick Mitchell (other), Luis Conte (other), Michito Sanchez (other), Tris Imboden (dr)",fl,1989,Dick Mitchell,
AQAJzUySRIwSEb_R5Mihc8ijL6j8qSgn_0.01.50.064308-0.02.38.040000,,Clare Fischer,Clare Fischer,Pan pipe dance,"Brent Fischer (b), Clare Fischer (other), Dick Mitchell (other), Luis Conte (other), Michito Sanchez (other), Tris Imboden (dr)",vib,1989,,
AQAK19sYdYoUnHiG6x_iJEPy48L1g0-i_0.03.08.053151-0.04.34.038730,,Don Pullen,Don Pullen,Sun watchers,"Cameron Brown (b), Dannie Richmond (dr), Don Pullen (p), George Adams (fl, ts)",as,1987,George Adams,ts
AQAK3eQnzbg05EmSHMmOJk-O5-jSOWim_0.00.37.019836-0.01.47.081024,Modern Mainstream - Zoot Sims,Zoot Sims Quartet,Zoot Sims,Zonkin',"Gus Johnson (dr), John Williams (p), Nabil 'Knobby' Totah (b), Zoot Sims (bar (p), as (p), ts) by means of overdubbing (p)",as,1956,Zoot Sims,
