Track,CD,Boxnumber,Title,Composer,Artist,Aufnahmeort,Aufnahmedatum,Besetzung,
,,,,,,,,,
,,,,,,,,,
Jazz Roads – Classic Jazz – 232093,,,,,,,,,
,,,,,,,,,
3,3,232093,Mandy Lee Blues ,(Bloom-Melrose) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",05/04/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil Armstrong (p), Bud Scott (bj), Baby Dodds (d).",
4,3,232093,I'm Going Away To Wear You Off My Mind ,(Smith) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",05/04/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil Armstrong (p), Bud Scott (bj), Baby Dodds (d).",
5,3,232093,Chimes Blues ,(Oliver) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",05/04/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil Armstrong (p), Bud Scott (bj), Baby Dodds (d).",
6,3,232093,Weather Bird Rag ,(Armstrong) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",06/04/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil Armstrong (p), Bud Scott (bj), Baby Dodds (d).",
7,3,232093,Dipper Mouth Blues ,(Oliver-Armstrong) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",06/04/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil Armstrong (p), Bud Scott (bj), Baby Dodds (d).",
8,3,232093,Froggie Moore ,(Spike-Spike-Morton) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",06/04/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil Armstrong (p), Bud Scott (bj), Baby Dodds (d).",
9,3,232093,Snake Rag ,(Oliver-Piron) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",06/04/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil Armstrong (p), Bud Scott (bj), Baby Dodds (d).",
10,3,232093,Snake Rag ,(Oliver-Piron) ,King Oliver's Creole Jazz Band,Chicago,22/06/1923,"Joe 'King' Oliver (c), Louis Armstrong (c, sw), Honoré Dutrey (tb), Johnny Dodds (cl), Lil`Armstrong (p), Arthur 'Bud' Scott (bj, shouting), Baby Dodds (d).",
11,3,232093,Sweet Lovin' Man ,(Melrose-Hardin) ,King Oliver's Creole Jazz Band,Chicago,22/06/1923,"Joe 'King' Oliver (c), Louis Armstrong (c, sw), Honoré Dutrey (tb), Johnny Dodds (cl), Lil`Armstrong (p), Arthur 'Bud' Scott (bj, shouting), Baby Dodds (d).",
12,3,232093,High Society Rag ,(Steele) ,King Oliver's Creole Jazz Band,Chicago,22/06/1923,"Joe 'King' Oliver (c), Louis Armstrong (c, sw), Honoré Dutrey (tb), Johnny Dodds (cl), Lil`Armstrong (p), Arthur 'Bud' Scott (bj, shouting), Baby Dodds (d).",
